ticker	chokepoint_score	chokepoint_tier	score	verdict	price	target	upside	spacex_confirmed	catalyst	risk_level	one_liner
ATRO	6	Commodity / Indirect	28	AVOID	69.05	N/A	N/A	Unverified	Commercial aero recovery	Medium	Commercial aero power/lighting; no confirmed SpaceX relationship; space <3% rev; zero chokepoint
HEI	11	Oligopoly with Moat	52	HOLD	274	N/A	N/A	Unverified	Aerospace aftermarket + defense	Low	Dominant PMA aftermarket maker; indirect/unverified SpaceX via ETG satellite subsystems; true moat is commercial aviation
DCO	10	Competitive / Linked	42	AVOID	131	N/A	N/A	Unverified	Missile production ramp	Medium	Mid-cap A&D tier-2; strong missile tailwinds but SpaceX unconfirmed; 85% SpaceX vertical integration limits opportunity
ATI	20	Duopoly Chokepoint	72	HOLD	151	N/A	N/A	Speculated	Ti supply crunch + $1B EBITDA	Medium	Dominant US aerospace alloy supplier (6/7 engine alloys, sole isothermal forger); structural chokepoint but stock 4x'd; SpaceX <1% rev
PH	11	Oligopoly with Moat	30	AVOID	906	N/A	N/A	Speculated	Aerospace segment growth	Low	Elite industrial compounder; no confirmed SpaceX; space <1% of $19.9B rev; $113B mkt cap too diversified
MOG.A	16	Duopoly Chokepoint	52	HOLD	300	N/A	N/A	Partial	Artemis + defense budgets	Medium	Tier-1 space actuator/valve maker; confirmed on Falcon 9 but Marotta Controls is SpaceX primary; Optimus unsubstantiated
VELO	14	Oligopoly with Moat	42	HOLD	13.21	N/A	N/A	Confirmed	Raptor 4 ramp + defense $32.6M	Very High	CONFIRMED SpaceX Raptor supplier (5 parts, 25 machines); but negative margins, near-bankruptcy, dilution risk
SIF	14	Oligopoly with Moat	22	AVOID	13.99	N/A	N/A	Unverified	Defense backlog growth	High	Micro-cap forger; lists "commercial space" but NO confirmed SpaceX; space rev -53%; SpaceX 3D-prints in-house
TDG	14	Oligopoly with Moat	43	HOLD	1175	N/A	N/A	Speculated	Aviation aftermarket supercycle	Low	Ultimate aerospace monopoly compounder; SpaceX vertical integration antithetical to TDG model; buy for aviation not rockets
GTLS	9	Competitive / Linked	18	AVOID	207	N/A	N/A	Unverified	Baker Hughes $210 takeout	Low	Cryo equipment leader but SpaceX builds own GSE tanks; being acquired by Baker Hughes; non-investable
FLTCF	17	Duopoly Chokepoint	74	BUY	2.64	N/A	N/A	Confirmed	Starlink Gen2/3 + £47.3M order	High	CONFIRMED SpaceX strategic partner; E-band GaN SSPAs for Starlink; £56.3M rev +121%; 63% GM; 83% customer concentration
HXL	18	Duopoly Chokepoint	58	HOLD	87	N/A	N/A	Probable	Widebody ramp + defense	Medium	Aerospace carbon fiber duopolist (with Toray); probable SpaceX supplier but immaterial revenue; Starship steel is headwind
CRS	19	Duopoly Chokepoint	65	HOLD	383	N/A	N/A	Probable	AM powder + jet engine ramp	Medium	Nickel superalloys + AM powder for 3D-printed rocket engines; 33% SAO margin; stock at 50x+ earnings already
MTRN	22	Monopoly Chokepoint	72	HOLD	162.47	N/A	N/A	Probable	Critical minerals + defense	Medium	Sole US beryllium producer (govt-backed monopoly); AlBeMet in 150+ satellites; but beryllium only $120M of $1.79B rev
PKE	12	Oligopoly with Moat	38	AVOID	26.38	N/A	N/A	Unverified	PAC-3 production ramp	Medium	Sole-source Patriot missile ablatives but zero SpaceX connection; 72% customer concentration; defense not space
STLD	5	Commodity / Indirect	18	AVOID	184.26	N/A	N/A	Probable	Steel cycle	Low	Probable Starship stainless supplier but commodity steel with zero lock-in; SpaceX demand is rounding error on $18.2B rev
GHM	18	Duopoly Chokepoint	68	HOLD	85.62	N/A	N/A	Confirmed	Navy subs + commercial space	Medium	Barber-Nichols designed original Merlin turbopump; 6 space customers; $515M backlog; zero debt; stock already 3x'd
AVGO	4	Commodity / Indirect	15	AVOID	306	N/A	N/A	Unverified	AI custom silicon	Low	Wrong chip company — Starlink's confirmed partner is STMicro not Broadcom; zero verified Starlink exposure
TXN	7	Commodity / Indirect	20	HOLD	190	N/A	N/A	Confirmed	Analog cycle recovery	Low	Confirmed in BOM (DC/DC converters) but sub-$1 commodity parts; Starlink is <0.01% of $17.7B revenue
DIOD	7	Commodity / Indirect	18	AVOID	73	N/A	N/A	Confirmed	Cyclical recovery	Low	Confirmed shunt regulators on Starlink power board but $0.20 commodity part; zero pricing power
014300.KS	16	Duopoly Chokepoint	52	HOLD	70000	55000	-21%	Confirmed	Temple TX plant Q3 2026	High	DOWNGRADED: stock 4x'd to KRW 70K+, now 27% ABOVE analyst consensus; was BUY at KRW 21K (0.39x P/B); at 44-48x P/E, priced for perfection; wait for pullback to KRW 45-55K
NIC.AX	6	Commodity / Indirect	12	AVOID	0.90	N/A	N/A	Indirect	Nickel price	Medium	Commodity nickel miner; SpaceX link is two degrees of separation via Sphere Corp JV
3491.TWO	19	Duopoly Chokepoint	72	HOLD	1665	1209	-27%	Confirmed	LEO +150% rev 2026E	Very High	CONFIRMED SpaceX RF; LEO 53%→80%; 150% rev growth guided 2026; BUT stock at TWD 1,665 = 205x P/E; Goldman PT 2,007; parabolic +288% YoY; GM 51%
2313.TW	17	Duopoly Chokepoint	50	HOLD	270	120	-56%	Confirmed	LEO satellite PCB demand	Very High	80% LEO PCB share; BUT stock at TWD 270 = ATH, RSI 71 overbought, +339% YoY; analyst targets 107-136 (50-60% below); SpaceX Bastrop PCB factory targeting Q3 2026; EXTREME overvaluation
6271.TW	18	Duopoly Chokepoint	68	BUY	133.50	N/A	N/A	Speculated	Exclusive RF transceiver rumor	High	Rumored exclusive SpaceX RF transceiver packager; ceramic substrate specialist; highest theoretical chokepoint if true
6285.TW	16	Duopoly Chokepoint	62	HOLD	126	N/A	N/A	Confirmed	Starlink router assembly	Low	Confirmed Starlink router/network assembler in Vietnam; but thin EMS margins (12% GM) dilute thesis
2355.TW	12	Oligopoly with Moat	50	HOLD	37.35	N/A	N/A	Confirmed	Thailand expansion for SpaceX	Medium	Self-confirmed SpaceX PCB supplier relocating to Thailand; commodity PCB positioning limits chokepoint
4916.TW	12	Oligopoly with Moat	45	HOLD	62	N/A	N/A	Confirmed	Starlink PCBA demand	Medium	Confirmed indirect Starlink PCBA supplier; small-cap EMS with aerospace credentials
6568.TWO	12	Oligopoly with Moat	42	HOLD	131	N/A	N/A	Speculated	Satellite IC development	Medium	Developing satellite comm ICs; unconfirmed SpaceX relationship; small scale vs global RF IC competitors
3138.TW	11	Competitive / Linked	35	AVOID	198	N/A	N/A	Speculated	LEO satellite ground terminals	Medium	NOT a capacitor supplier — actually antenna/RF test company; no confirmed Starlink revenue
2312.TW	9	Competitive / Linked	30	AVOID	25.05	N/A	N/A	Partial	Ground station OEM	Low	Starlink ground station motherboard OEM but immaterial to TWD 170B revenue EMS conglomerate
4927.TW	8	Competitive / Linked	28	AVOID	42	N/A	N/A	Speculated	Satellite PCB	Low	Generic PCB maker with tangential satellite exposure; no confirmed direct SpaceX relationship
STM	20	Duopoly Chokepoint	82	BUY	32.75	40	+22%	Confirmed	Starlink chip doubling by 2027	Medium	$700-900M SpaceX rev (40-50% of Comm segment); RFOC at 23.4% OM = 5x company avg; crown jewel buried in auto trough; BUY below $28
LIN	9	Competitive / Linked	30	HOLD	491	N/A	N/A	Confirmed	Starship LOX demand	Low	Confirmed SpaceX LOX supplier; $100M Brownsville ASU; but commodity gas, <0.3% of $34B revenue; $230B mkt cap
APD	10	Competitive / Linked	35	HOLD	292	N/A	N/A	Indirect	Helium crisis + NASA	Medium	World's largest helium supplier; helium crisis (Qatar shutdown = 1/3 supply offline, 40-100% price surge); JPM upgraded; not direct SpaceX but tactically interesting
CMTL	5	Commodity / Indirect	18	AVOID	3.60	N/A	N/A	Unverified	None	Very High	Legacy satellite modem maker; no confirmed SpaceX ties; $108M mkt cap; -$204M net loss; distressed
MPWR	11	Oligopoly with Moat	42	HOLD	1058	N/A	N/A	Confirmed	AI data center power	Low	Confirmed Starlink terminal power ICs (8+ chips per terminal); but <1% of $2.8B revenue; buy for AI not Starlink
M0YN.DE	5	Commodity / Indirect	5	AVOID	0.29	N/A	N/A	Unverified	DEAD	Very High	BANKRUPT/DELISTED; acquired by Rocket Lab for $75M; shareholders wiped out; was never a Starlink supplier
TRMB	4	Commodity / Indirect	12	AVOID	63.81	N/A	N/A	Unverified	Construction/ag digitization	Low	NOT a Starlink supplier; resells Starlink connectivity for ag; Starlink PNT may actually DISRUPT Trimble long-term
347700.KQ	13	Oligopoly with Moat	52	HOLD	46150	N/A	N/A	Confirmed	SpaceX IPO + launch cadence	Very High	Confirmed $1.05B/10yr SpaceX superalloy framework; most direct public SpaceX supplier; but ex-healthcare shell, unproven margins, 670% run, KOSDAQ only
AMD	16	Duopoly Chokepoint	58	HOLD	115	N/A	N/A	Confirmed	Embedded recovery + V3 ramp	Low	Versal AI Core in every Starlink V2 sat (CEO confirmed); est. $25-35M/yr (~1% Embedded); strategically iconic but financially small; ASIC risk in 3-5yr
3402.T	18	Duopoly Chokepoint	55	HOLD	N/A	N/A	N/A	Confirmed	Aerospace composites	Low	TenCate exec confirmed SpaceX composite supply; world #1 carbon fiber; Japan-listed
6723.T	16	Duopoly Chokepoint	45	HOLD	2400	N/A	N/A	Confirmed	Auto MCU cycle + SATCOM	Low	GreenPAK + beamforming transceivers in Starlink; strongest SATCOM beamforming portfolio; but 1-2% of $9.65B rev
3481.TW	10	Competitive / Linked	20	AVOID	16.30	N/A	N/A	Confirmed	FOPLP hype	High	TEMPORARY FOPLP chip packager for Starlink RF; SpaceX building own plant Q3 2026; bridge supplier with expiration date
3305.TW	9	Competitive / Linked	30	HOLD	N/A	N/A	N/A	Confirmed	Vietnam expansion	Medium	Confirmed solder supplier for Starlink PCBs; Vietnam $5M facility; but commodity input with low switching costs
2454.TW	10	Competitive / Linked	30	HOLD	N/A	N/A	N/A	Confirmed	Router SoC cycle	Low	MediaTek MT7629 Wi-Fi SoC + MT7762/7761 confirmed in Starlink routers (teardown + GitHub); replaceable but qualified
AI.PA	10	Competitive / Linked	28	HOLD	N/A	N/A	N/A	Confirmed	NASA/KSC LOX ops	Low	Operates NASA LOX plant at KSC (265t/day); supplies Falcon 9 Cape launches; commodity gas but entrenched infrastructure
3105.TW	17	Duopoly Chokepoint	58	HOLD	382.50	205	-46%	Confirmed	AI optical + satellite GaAs	Medium	World's largest GaAs foundry (65-79% share); confirmed Starlink since 2020; 5-10% SpaceX exposure; BUT 96x P/E, 87% above analyst target
CDNS	16	Duopoly Chokepoint	55	HOLD	N/A	N/A	N/A	Confirmed	AI/EDA secular growth	Low	Sierra SerDes IP baked into Catapult SoC; EDA tools for SpaceX chip design; deep architectural dependency but tiny % of $6B rev
ARM	15	Duopoly Chokepoint	50	HOLD	N/A	N/A	N/A	Confirmed	AI/mobile IP licensing	Low	Cortex-A53 IP in every Starlink terminal SoC; no x86 alternative; but ARM IP is ubiquitous, SpaceX is one of millions of licensees
QCOM	14	Oligopoly with Moat	55	HOLD	165	N/A	N/A	Confirmed	X105 D2C modem	Low	X105 NR-NTN modem = native Starlink in every flagship phone by 2027; base case $1.6-1.9B by 2028 (4-6% of rev); 12-18mo lead over MediaTek; defensive moat value > offensive revenue
SWKS	10	Competitive / Linked	25	HOLD	N/A	N/A	N/A	Confirmed	WiFi RF frontend	Low	WiFi RF frontend in Gen1 router (SKY85743/8533); Gen2+ unclear; commodity RF parts with alternatives
MRVL	12	Oligopoly with Moat	30	HOLD	N/A	N/A	N/A	Confirmed	AI networking	Low	Alaska 88E1512 Ethernet PHY in Gen2 router; also Xsight Labs investor (V3 satellite switch); small exposure
2344.TW	7	Commodity / Indirect	22	AVOID	92.40	N/A	N/A	Confirmed	Memory cycle	Low	Commodity 1Gbit NAND flash in Starlink routers; <0.06% of TWD 89.4B revenue; zero chokepoint
2383.TW	13	Oligopoly with Moat	40	AVOID	2910	N/A	N/A	Confirmed	AI/HPC CCL demand	Low	Confirmed HF PCB laminate for Starlink; real moat but 71x P/E prices in perfection; SpaceX 1-3% of rev
6412.TW	6	Commodity / Indirect	20	AVOID	77.10	N/A	N/A	Confirmed	Server PSU recovery	Low	Confirmed Starlink router PSU (UTP-211C teardown); commodity power supply; revenue declining -7.3%
ACX.MC	11	Competitive / Linked	32	AVOID	12.93	N/A	N/A	Speculated	Stainless cycle recovery	Medium	Acquired Haynes International ($799M); HASTELLOY superalloys have rocket heritage but no confirmed SpaceX; 75% commodity stainless
ETN	10	Competitive / Linked	25	AVOID	357	N/A	N/A	Speculated	Data center power	Low	$138B industrial; aerospace valves/tanks exist but Marotta is SpaceX's confirmed valve supplier; space <0.1% of $27.4B rev
LSCC	10	Competitive / Linked	30	AVOID	90.39	N/A	N/A	Speculated	AI FPGA recovery	Low	Rad-tolerant Certus-NX-RT exists but AMD Versal is confirmed Starlink V2 FPGA; 86x P/E on 2.7% growth
KULR	6	Commodity / Indirect	22	AVOID	2.72	N/A	N/A	Probable	K1S battery launch	Very High	Battery safety testing for "largest private space co" (SpaceX); but service contract, not hardware; -125% EBITDA; $127M mkt cap
603986.SS	5	Commodity / Indirect	15	AVOID	285	N/A	N/A	Confirmed	China semi cycle	High	Teardown-confirmed GD25Q128B NOR flash in Gen1 router; sub-$1 commodity part; Shanghai-listed; geopolitical risk
TRYIY	18	Duopoly Chokepoint	55	HOLD	14.17	N/A	N/A	Confirmed	Aerospace composites	Low	ADR for 3402.T (Toray); see 3402.T report; prefer primary Tokyo listing for liquidity
MU	5	Commodity / Indirect	22	AVOID	357.22	443	+24%	Confirmed	AI/HBM supercycle	Low	Confirmed eMMC flash in Starlink terminal but $3 commodity part; <0.03% of $58B rev; buy for AI not SpaceX
NXPI	10	Competitive with Differentiation	32	HOLD	197.53	261	+32%	Probable	Auto cycle recovery	Low	Probable PowerPC MCUs in Falcon 9 engines; COTS approach lowers switching cost; <0.05% of $12.3B rev; architecture migration risk
SNPS	11	Oligopoly with Moat	33	HOLD	380.47	558	+47%	Confirmed	AI chip design demand	Low	EDA duopoly is real but applies to all chip design; SpaceX is one of thousands of customers; <0.15% of $7B rev
HWM	12	Oligopoly with Moat	40	HOLD	230.63	275	+19%	Speculated	Aero upcycle	Low	#1 aerospace fastener/casting house but zero confirmed SpaceX relationship; 3D-printing headwind; rocket volumes immaterial vs $8.3B aero rev
IFX.DE	7	Commodity / Indirect	30	AVOID	37.43	N/A	N/A	Confirmed	Auto electrification + AI	Low	Confirmed FDMS power MOSFETs in Starlink terminal; commodity part with 5+ alternatives; <0.1% of EUR 15B revenue
ADI	7	Competitive / Linked	27	HOLD	312	N/A	N/A	Confirmed	Analog recovery	Low	Confirmed MAX16056 power supervisor in Starlink Rev 3; commodity catalog part; <0.05% of $11B revenue
ON	6	Commodity / Indirect	27	AVOID	63.10	N/A	N/A	Confirmed	SiC automotive pivot	Low	Confirmed FDMS86182 MOSFET in Starlink Rev 3; commodity power semi with 10+ alternatives; <0.07% of $6B revenue
MCHP	14	Oligopoly with Moat	40	HOLD	65.63	N/A	N/A	Probable	Starshield + defense space	Medium	19% space-grade semi market share (3x nearest); rad-hard MCUs/FPGAs; but no confirmed direct SpaceX; SpaceX uses COTS on Starlink
LFUS	5	Commodity / Indirect	22	AVOID	333	N/A	N/A	Probable	Data center/grid	Low	Probable TVS diodes in Starlink but sub-$0.10 commodity protection parts; <$2M possible SpaceX revenue on $2.4B base
